iter	Passed	Remaining
0	43	36573
1	83	34672
2	121	33880
3	161	33633
4	199	33207
5	237	32951
6	276	32787
7	314	32619
8	354	32632
9	393	32566
10	433	32516
11	473	32548
12	512	32460
13	550	32346
14	590	32375
15	631	32394
16	671	32408
17	710	32342
18	748	32239
19	788	32208
20	826	32112
21	864	32031
22	904	31993
23	942	31923
24	980	31852
25	1019	31799
26	1057	31715
27	1094	31635
28	1133	31591
29	1172	31536
30	1211	31486
31	1252	31513
32	1296	31586
33	1333	31498
34	1372	31459
35	1411	31404
36	1448	31325
37	1488	31294
38	1530	31314
39	1571	31309
40	1625	31557
41	1669	31601
42	1710	31581
43	1751	31562
44	1791	31530
45	1830	31472
46	1869	31425
47	1906	31330
48	1944	31271
49	1983	31222
50	2023	31191
51	2062	31129
52	2101	31092
53	2141	31045
54	2179	30995
55	2218	30936
56	2256	30872
57	2295	30829
58	2333	30772
59	2371	30707
60	2409	30647
61	2448	30603
62	2488	30572
63	2529	30554
64	2573	30570
65	2617	30572
66	2659	30567
67	2701	30553
68	2742	30530
69	2783	30497
70	2822	30449
71	2861	30408
72	2901	30363
73	2940	30317
74	2980	30284
75	3019	30236
76	3057	30181
77	3096	30134
78	3136	30091
79	3175	30048
80	3214	30003
81	3252	29948
82	3291	29898
83	3329	29847
84	3366	29786
85	3417	29845
86	3468	29903
87	3513	29903
88	3553	29861
89	3596	29854
90	3644	29876
91	3696	29932
92	3756	30049
93	3810	30122
94	3882	30326
95	3951	30497
96	4002	30530
97	4044	30501
98	4084	30450
99	4126	30414
100	4175	30427
101	4226	30457
102	4275	30466
103	4321	30459
104	4370	30465
105	4419	30475
106	4465	30465
107	4514	30473
108	4561	30466
109	4606	30444
110	4651	30423
111	4697	30408
112	4742	30383
113	4782	30332
114	4824	30287
115	4867	30253
116	4911	30223
117	4955	30193
118	5006	30209
119	5061	30240
120	5106	30215
121	5149	30178
122	5190	30127
123	5231	30079
124	5274	30044
125	5315	29993
126	5369	30020
127	5415	29997
128	5460	29971
129	5505	29941
130	5550	29911
131	5592	29868
132	5645	29885
133	5688	29843
134	5737	29837
135	5793	29862
136	5843	29856
137	5886	29815
138	5928	29772
139	5972	29735
140	6011	29675
141	6056	29644
142	6110	29657
143	6160	29648
144	6207	29623
145	6260	29631
146	6307	29607
147	6354	29582
148	6403	29568
149	6454	29559
150	6499	29526
151	6548	29511
152	6609	29550
153	6654	29511
154	6704	29497
155	6749	29463
156	6789	29406
157	6835	29374
158	6878	29329
159	6920	29281
160	6958	29217
161	7001	29172
162	7048	29143
163	7098	29130
164	7146	29104
165	7190	29067
166	7238	29040
167	7289	29027
168	7337	29001
169	7375	28937
170	7414	28878
171	7455	28825
172	7493	28760
173	7530	28694
174	7579	28672
175	7621	28625
176	7660	28565
177	7698	28502
178	7736	28440
179	7775	28378
180	7811	28312
181	7847	28241
182	7883	28174
183	7919	28105
184	7958	28048
185	7997	27991
186	8034	27927
187	8071	27862
188	8109	27805
189	8147	27745
190	8185	27684
191	8221	27619
192	8259	27559
193	8297	27501
194	8335	27443
195	8374	27389
196	8412	27328
197	8449	27267
198	8485	27204
199	8524	27149
200	8563	27097
201	8610	27067
202	8648	27010
203	8686	26952
204	8724	26898
205	8762	26840
206	8799	26781
207	8835	26718
208	8873	26663
209	8911	26606
210	8951	26556
211	8990	26503
212	9025	26441
213	9062	26382
214	9100	26328
215	9139	26275
216	9176	26219
217	9212	26158
218	9248	26099
219	9283	26036
220	9322	25984
221	9364	25942
222	9401	25885
223	9439	25831
224	9477	25778
225	9515	25726
226	9553	25671
227	9593	25625
228	9631	25571
229	9669	25520
230	9707	25467
231	9745	25414
232	9783	25361
233	9823	25314
234	9861	25261
235	9899	25211
236	9939	25163
237	9977	25110
238	10015	25060
239	10055	25011
240	10094	24964
241	10132	24911
242	10170	24861
243	10211	24817
244	10253	24776
245	10292	24726
246	10333	24683
247	10373	24636
248	10411	24585
249	10451	24539
250	10501	24517
251	10543	24475
252	10588	24441
253	10631	24401
254	10672	24358
255	10711	24310
256	10753	24269
257	10792	24220
258	10834	24179
259	10873	24129
260	10914	24086
261	10952	24037
262	10989	23984
263	11025	23930
264	11067	23889
265	11105	23838
266	11145	23793
267	11183	23744
268	11222	23696
269	11267	23661
270	11302	23606
271	11339	23554
272	11375	23500
273	11411	23447
274	11446	23393
275	11483	23342
276	11521	23292
277	11558	23241
278	11607	23214
279	11645	23165
280	11684	23118
281	11722	23071
282	11760	23021
283	11796	22969
284	11835	22922
285	11874	22876
286	11910	22825
287	11949	22778
288	11988	22731
289	12025	22681
290	12061	22630
291	12098	22580
292	12137	22535
293	12173	22484
294	12211	22436
295	12248	22385
296	12284	22335
297	12322	22288
298	12361	22242
299	12396	22190
300	12433	22140
301	12467	22087
302	12504	22036
303	12541	21988
304	12580	21942
305	12619	21897
306	12657	21850
307	12705	21822
308	12741	21771
309	12778	21724
310	12816	21676
311	12854	21630
312	12889	21578
313	12924	21527
314	12960	21476
315	12995	21426
316	13031	21377
317	13070	21332
318	13107	21283
319	13141	21232
320	13179	21185
321	13214	21134
322	13249	21083
323	13285	21034
324	13322	20987
325	13360	20941
326	13395	20892
327	13431	20843
328	13468	20797
329	13504	20747
330	13540	20699
331	13580	20657
332	13616	20609
333	13654	20563
334	13690	20515
335	13725	20465
336	13761	20418
337	13797	20369
338	13833	20321
339	13869	20273
340	13905	20226
341	13941	20177
342	13978	20132
343	14018	20091
344	14055	20044
345	14091	19997
346	14127	19950
347	14161	19898
348	14199	19854
349	14235	19807
350	14271	19760
351	14308	19714
352	14349	19674
353	14385	19627
354	14421	19581
355	14457	19533
356	14494	19487
357	14530	19442
358	14570	19399
359	14607	19355
360	14645	19310
361	14681	19264
362	14716	19216
363	14753	19171
364	14791	19127
365	14829	19084
366	14865	19037
367	14903	18993
368	14941	18949
369	14978	18905
370	15013	18858
371	15048	18810
372	15087	18768
373	15121	18720
374	15159	18676
375	15196	18631
376	15233	18587
377	15267	18539
378	15303	18492
379	15341	18449
380	15378	18405
381	15413	18359
382	15450	18314
383	15486	18269
384	15521	18222
385	15558	18178
386	15598	18137
387	15636	18095
388	15672	18049
389	15706	18002
390	15741	17955
391	15777	17910
392	15816	17868
393	15855	17827
394	15892	17783
395	15929	17739
396	15967	17697
397	16003	17651
398	16042	17610
399	16079	17566
400	16115	17522
401	16150	17476
402	16186	17431
403	16223	17388
404	16259	17343
405	16299	17302
406	16336	17259
407	16374	17216
408	16410	17172
409	16448	17130
410	16483	17085
411	16519	17040
412	16555	16996
413	16595	16955
414	16629	16910
415	16666	16867
416	16703	16823
417	16738	16778
418	16774	16734
419	16810	16690
420	16845	16645
421	16881	16601
422	16918	16558
423	16954	16514
424	16993	16473
425	17028	16428
426	17065	16386
427	17102	16343
428	17138	16299
429	17174	16255
430	17207	16209
431	17243	16166
432	17279	16122
433	17315	16078
434	17350	16034
435	17386	15990
436	17420	15945
437	17455	15901
438	17489	15856
439	17524	15812
440	17568	15775
441	17604	15732
442	17641	15690
443	17677	15646
444	17712	15603
445	17748	15559
446	17784	15516
447	17817	15471
448	17852	15427
449	17887	15383
450	17924	15340
451	17959	15297
452	17996	15255
453	18036	15216
454	18072	15173
455	18109	15131
456	18143	15086
457	18179	15043
458	18215	15000
459	18251	14957
460	18287	14915
461	18324	14873
462	18359	14830
463	18396	14788
464	18431	14745
465	18467	14702
466	18504	14660
467	18539	14618
468	18579	14578
469	18614	14535
470	18650	14492
471	18689	14452
472	18726	14411
473	18762	14369
474	18797	14325
475	18832	14282
476	18868	14240
477	18906	14199
478	18948	14162
479	18982	14118
480	19018	14075
481	19054	14033
482	19089	13990
483	19124	13948
484	19158	13904
485	19194	13862
486	19230	13820
487	19267	13779
488	19304	13738
489	19351	13703
490	19399	13670
491	19438	13630
492	19477	13590
493	19518	13552
494	19565	13517
495	19616	13486
496	19659	13449
497	19700	13410
498	19741	13372
499	19784	13334
500	19861	13319
501	19929	13299
502	19979	13266
503	20018	13226
504	20057	13186
505	20099	13147
506	20142	13110
507	20191	13076
508	20235	13040
509	20282	13004
510	20327	12968
511	20372	12931
512	20417	12895
513	20461	12857
514	20503	12819
515	20549	12783
516	20590	12744
517	20628	12703
518	20670	12664
519	20709	12624
520	20757	12590
521	20797	12550
522	20840	12512
523	20880	12472
524	20923	12434
525	20961	12393
526	21006	12356
527	21055	12321
528	21102	12286
529	21145	12248
530	21186	12209
531	21232	12172
532	21275	12134
533	21317	12095
534	21358	12056
535	21409	12022
536	21449	11983
537	21492	11944
538	21539	11908
539	21593	11876
540	21635	11837
541	21679	11799
542	21718	11759
543	21757	11718
544	21812	11686
545	21873	11657
546	21915	11618
547	21961	11581
548	22004	11543
549	22051	11506
550	22098	11470
551	22136	11429
552	22179	11390
553	22225	11353
554	22268	11314
555	22309	11275
556	22349	11235
557	22396	11198
558	22438	11159
559	22482	11120
560	22528	11083
561	22579	11048
562	22623	11010
563	22666	10971
564	22712	10933
565	22752	10893
566	22790	10852
567	22832	10813
568	22871	10772
569	22912	10732
570	22950	10691
571	22994	10653
572	23046	10618
573	23094	10581
574	23135	10541
575	23178	10502
576	23221	10463
577	23266	10425
578	23308	10386
579	23349	10346
580	23388	10305
581	23426	10264
582	23463	10222
583	23498	10180
584	23540	10140
585	23575	10098
586	23613	10056
587	23650	10015
588	23685	9972
589	23722	9931
590	23760	9890
591	23797	9848
592	23833	9806
593	23866	9763
594	23902	9721
595	23939	9680
596	23976	9638
597	24013	9597
598	24047	9554
599	24083	9512
600	24118	9470
601	24156	9429
602	24191	9387
603	24226	9345
604	24259	9302
605	24295	9261
606	24329	9218
607	24366	9177
608	24402	9135
609	24438	9094
610	24473	9052
611	24511	9011
612	24549	8970
613	24587	8929
614	24625	8889
615	24660	8847
616	24696	8805
617	24731	8764
618	24764	8721
619	24800	8680
620	24832	8637
621	24867	8595
622	24901	8553
623	24935	8511
624	24967	8469
625	25001	8427
626	25036	8385
627	25071	8343
628	25104	8301
629	25140	8260
630	25174	8218
631	25208	8176
632	25245	8136
633	25280	8094
634	25314	8052
635	25353	8012
636	25386	7970
637	25420	7928
638	25457	7888
